12.8653,77.6564,91
12.8792,77.5953,92
12.9102,77.5861,93
12.9117,77.6432,94
12.9143,77.6773,95
12.9267,77.5141,96
12.9268,77.5511,97
12.9364,77.6280,98
12.9387,77.5850,99
12.9497,77.6991,100
12.9548,77.5673,101
12.9611,77.5098,102
12.9637,77.6413,103
12.9658,77.5348,104
12.97401,77.6170,105
12.9793,77.7283,106
12.9867,77.7364,107
12.9889,77.5930,108
12.9912,77.5712,109
12.9932,77.6620,110
12.9964,77.6967,111
12.9976,77.5441,112
13.0117,77.5547,113
13.0134,77.6618,114
13.0232,77.6364,115
13.0266,77.5928,116
13.0317,77.5699,117
13.0456,77.6265,118
13.0631,77.5594,119
13.0635,77.5912,120
